id;nom;ninea;date_creation;nbre_employe
1;Iranian b Granite;Wooden;2022-09-08;77365
2;payment payment;monitoring redefine;2022-09-08;34732
3;Somoni;Pound;2022-09-09;12381
4;République;user-centric;2022-09-08;37767
5;Shirt synthesize Analyste;Account Designer Games;2022-09-08;52845
6;Pound;Handmade bypassing 1080p;2022-09-08;80893
7;Alsace de;alliance olive;2022-09-08;53016
8;drive;Analyste Steel Plastic;2022-09-09;81102
9;Lesotho;bleeding-edge proactive copy;2022-09-08;4769
10;ADP;Sausages calculating USB;2022-09-09;41663
